candidate,twitter_handle,state,district,office_type,race_type,race_primary_election_date,primary_status,primary_runoff_status,general_status,primary_pctg,won_primary,rep_party_support,trump_endorsed,bannon_endorsed,great_america_endorsed,nra_endorsed,right_to_life_endorsed,susan_b_anthony_endorsed,club_for_growth_endorsed,koch_support,house_freedom_support,tea_party_endorsed,main_street_endorsed,chamber_endorsed,no_labels_support
523,,0,0,0,1,12,Advanced,None,On the Ballot,61.8,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
512,,0,0,0,1,12,Lost,None,None,2.2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2
496,,0,0,0,1,12,Lost,None,None,31.9,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2
171,,0,0,0,1,12,Lost,None,None,0.6,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2
696,,0,0,0,1,12,Lost,None,None,1.3,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2
500,,0,0,0,1,12,Lost,None,None,1.5,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2
258,,0,0,0,1,12,Lost,None,None,0.7,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2
683,,1,22,1,1,13,Lost,None,None,37.8,0,1,2,2,2,2,2,2,1,2,2,1,2,2,2
743,,1,22,1,1,13,Advanced,None,On the Ballot,43.4,1,1,2,2,2,2,2,2,0,2,2,0,2,2,2
703,,1,22,1,1,13,Lost,None,None,18.8,0,1,2,2,2,2,2,2,0,2,2,0,2,2,2
442,,1,23,1,1,13,Advanced,None,On the Ballot,33.6,1,1,2,2,2,2,2,2,2,1,2,2,2,2,2
111,,1,23,1,1,13,Lost,None,None,21.4,0,0,2,2,2,2,2,2,2,0,2,2,2,2,2
168,,1,23,1,1,13,Lost,None,None,15.9,0,0,2,2,2,2,2,2,2,0,2,2,2,2,2
77,,1,23,1,1,13,Lost,None,None,29.1,0,0,2,2,2,2,2,2,2,0,2,2,2,2,2
222,,1,24,1,1,13,Lost,None,None,21.4,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2
654,,1,24,1,1,13,Lost,None,None,27.3,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2
545,,1,24,1,1,13,Advanced,None,On the Ballot,51.4,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
193,,1,25,1,2,0,Advanced,None,On the Ballot,35.77,1,2,2,2,2,2,2,1,2,1,1,2,2,2,2
70,,1,25,1,2,0,Lost,None,None,5.37,0,2,2,2,2,2,2,0,2,0,0,2,2,2,2
136,,1,25,1,2,0,Lost,None,None,2.37,0,2,2,2,2,2,2,0,2,0,0,2,2,2,2
576,,1,25,1,2,0,Lost,None,None,23.88,0,2,2,2,2,2,2,0,2,0,0,2,2,2,2
592,,1,25,1,2,0,Lost,None,None,1.42,0,2,2,2,2,2,2,0,2,0,0,2,2,2,2
672,,1,25,1,2,0,Lost,None,None,0.48,0,2,2,2,2,2,2,0,2,0,0,2,2,2,2
679,,1,25,1,2,0,Lost,None,None,23.82,0,2,2,2,2,2,2,0,2,0,0,2,2,2,2
133,,1,25,1,2,0,Lost,None,None,1.92,0,2,2,2,2,2,2,0,2,0,0,2,2,2,2
182,,1,25,1,2,0,Lost,None,None,1.77,0,2,2,2,2,2,2,0,2,0,0,2,2,2,2
113,,1,25,1,2,0,Lost,None,None,1.05,0,2,2,2,2,2,2,0,2,0,0,2,2,2,2
78,,1,25,1,2,0,Lost,None,None,1.03,0,2,2,2,2,2,2,0,2,0,0,2,2,2,2
476,,1,25,1,2,0,Lost,None,None,1.12,0,2,2,2,2,2,2,0,2,0,0,2,2,2,2
174,,1,26,1,1,13,Lost,None,None,33.3,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2
676,,1,26,1,1,13,Advanced,None,On the Ballot,58.9,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2
286,,1,26,1,1,13,Lost,None,None,7.8,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2
345,,1,219,2,1,13,Lost,None,None,18.9,0,2,2,0,0,2,2,2,2,0,2,2,2,2,2
408,,1,219,2,1,13,Lost,None,None,28.1,0,2,2,1,1,2,2,2,2,0,2,2,2,2,2
479,,1,219,2,1,13,Advanced,None,On the Ballot,53.0,1,2,2,0,0,2,2,2,2,1,2,2,2,2,2
357,,2,1,0,1,8,Advanced,None,On the Ballot,70.15,1,2,1,2,2,2,1,2,2,2,2,2,2,2,2
573,,2,1,0,1,8,Lost,None,None,1.08,0,2,0,2,2,2,0,2,2,2,2,2,2,2,2
609,,2,1,0,1,8,Lost,None,None,1.77,0,2,0,2,2,2,0,2,2,2,2,2,2,2,2
725,,2,1,0,1,8,Lost,None,None,26.15,0,2,0,2,2,2,0,2,2,2,2,2,2,2,2
754,,2,1,0,1,8,Lost,None,None,0.85,0,2,0,2,2,2,0,2,2,2,2,2,2,2,2
362,,2,27,1,1,8,Advanced,None,On the Ballot,100.0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
449,,2,28,1,1,8,Advanced,None,On the Ballot,100.0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
150,,2,29,1,1,8,Advanced,None,On the Ballot,100.0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
627,,2,30,1,1,8,Advanced,None,On the Ballot,100.0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
228,,2,31,1,1,8,Advanced,None,On the Ballot,100.0,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2
619,,2,32,1,1,8,Advanced,None,On the Ballot,100.0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
128,,2,33,1,1,8,Advanced,None,On the Ballot,100.0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
152,,2,34,1,1,8,Advanced,None,On the Ballot,100.0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
399,,2,35,1,1,8,Advanced,None,On the Ballot,78.37,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2
505,,2,35,1,1,8,Lost,None,None,21.63,0,0,2,2,2,0,2,2,2,2,2,2,2,2,2
28,,2,36,1,1,8,Advanced,None,On the Ballot,53.04,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
321,,2,36,1,1,8,Lost,None,None,46.96,0,2,2,2,2,2,2,2,2,2,2,1,2,2,2
382,,2,37,1,1,8,Advanced,None,On the Ballot,100.0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
46,,2,38,1,1,8,Advanced,None,On the Ballot,100.0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
117,,2,39,1,1,8,Advanced,None,On the Ballot,100.0,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2
473,,2,40,1,1,8,Advanced,None,On the Ballot,100.0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
652,,2,41,1,1,8,Advanced,None,On the Ballot,100.0,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2
415,,2,42,1,1,8,Advanced,None,On the Ballot,100.0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
618,,2,43,1,1,8,Advanced,None,On the Ballot,100.0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
124,,2,44,1,1,8,Advanced,None,On the Ballot,100.0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
429,,2,45,1,1,8,Advanced,None,On the Ballot,51.61,1,1,2,2,2,2,2,1,2,2,2,2,2,2,2
667,,2,45,1,1,8,Lost,None,None,10.41,0,0,2,2,2,2,2,0,2,2,2,2,2,2,2
155,,2,45,1,1,8,Lost,None,None,17.39,0,0,2,2,2,2,2,0,2,2,2,2,2,2,2
208,,2,45,1,1,8,Lost,None,None,11.21,0,0,2,2,2,2,2,0,2,2,2,2,2,2,2
604,,2,45,1,1,8,Lost,None,None,9.38,0,0,2,2,2,2,2,0,2,2,2,2,2,2,2
632,,2,46,1,1,8,Advanced,None,On the Ballot,100.0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
752,,2,47,1,1,8,Advanced,None,On the Ballot,39.79,1,1,2,2,2,2,2,1,2,2,2,1,1,2,2
66,,2,47,1,1,8,Lost,None,None,11.53,0,0,2,2,2,2,2,0,2,2,2,0,0,2,2
359,,2,47,1,1,8,Lost,None,None,2.24,0,0,2,2,2,2,2,0,2,2,2,0,0,2,2
575,,2,47,1,1,8,Lost,None,None,21.22,0,0,2,2,2,2,2,0,2,2,2,0,0,2,2
662,,2,47,1,1,8,Lost,None,None,12.45,0,1,2,2,2,2,2,0,2,2,2,0,0,2,2
17,,2,47,1,1,8,Lost,None,None,1.05,0,0,2,2,2,2,2,0,2,2,2,0,0,2,2
685,,2,47,1,1,8,Lost,None,None,5.29,0,0,2,2,2,2,2,0,2,2,2,0,0,2,2
5,,2,48,1,1,8,Advanced,None,On the Ballot,100.0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
548,,2,49,1,1,8,Advanced,None,On the Ballot,56.02,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
240,,2,49,1,1,8,Lost,None,None,27.54,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2
225,,2,49,1,1,8,Lost,None,None,16.44,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2
313,,2,50,1,1,8,Lost,None,None,58.53,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2
664,,2,50,1,1,8,Lost,None,None,41.47,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2
631,,2,51,1,1,8,Advanced,None,On the Ballot,100.0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
353,,2,52,1,1,8,Advanced,None,On the Ballot,54.48,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
178,,2,52,1,1,8,Lost,None,None,45.52,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2
198,,2,53,1,1,8,Advanced,None,On the Ballot,52.93,1,1,2,2,2,2,2,2,2,2,2,1,2,2,2
435,,2,53,1,1,8,Lost,None,None,18.34,0,1,2,2,2,2,2,2,2,2,2,0,2,2,2
615,,2,53,1,1,8,Lost,None,None,15.66,0,1,2,2,2,2,2,2,2,2,2,0,2,2,2
393,,2,53,1,1,8,Lost,None,None,1.55,0,0,2,2,2,2,2,2,2,2,2,0,2,2,2
87,,2,53,1,1,8,Lost,None,None,6.26,0,0,2,2,2,2,2,2,2,2,2,0,2,2,2
148,,2,53,1,1,8,Lost,None,None,1.31,0,0,2,2,2,2,2,2,2,2,2,0,2,2,2
184,,2,53,1,1,8,Lost,None,None,1.22,0,0,2,2,2,2,2,2,2,2,2,0,2,2,2
529,,2,53,1,1,8,Lost,None,None,2.72,0,0,2,2,2,2,2,2,2,2,2,0,2,2,2
395,,2,54,1,1,8,Advanced,None,On the Ballot,49.39,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
452,,2,54,1,1,8,Lost,None,None,53.9,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2
377,,2,54,1,1,8,Lost,None,None,45.22,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2
549,,2,55,1,1,8,Advanced,None,On the Ballot,37.28,1,0,2,2,2,2,2,2,2,2,2,2,2,2,2
301,,2,55,1,1,8,Lost,None,None,27.81,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2
365,,2,55,1,1,8,Lost,None,None,8.25,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2
166,,2,55,1,1,8,Lost,None,None,11.2,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2
502,,2,55,1,1,8,Lost,None,None,9.57,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2
314,,2,55,1,1,8,Lost,None,None,5.88,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2
534,,2,56,1,1,8,Advanced,None,On the Ballot,42.73,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
489,,2,56,1,1,8,Lost,None,None,40.43,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2
79,,2,56,1,1,8,Lost,None,None,5.93,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2
660,,2,56,1,1,8,Lost,None,None,10.91,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2
16,,2,57,1,1,8,Advanced,None,On the Ballot,69.15,1,1,2,2,2,2,2,2,2,2,2,2,2,1,2
751,,2,57,1,1,8,Lost,None,None,30.85,0,0,2,2,2,2,2,2,2,2,2,2,2,0,2
477,,2,58,1,1,8,Advanced,None,On the Ballot,100.0,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2
331,,2,220,2,1,8,Lost,None,None,3.04,0,2,2,2,2,2,0,2,2,2,2,2,2,2,2
423,,2,220,2,1,8,Lost,None,None,3.94,0,2,2,2,2,2,0,2,2,2,2,2,2,2,2
623,,2,220,2,1,8,Lost,None,None,6.11,0,2,2,2,2,2,0,2,2,2,2,2,2,2,2
718,,2,220,2,1,8,Lost,None,None,9.26,0,2,2,2,2,2,0,2,2,2,2,2,2,2,2
557,,2,220,2,1,8,Lost,None,None,4.06,0,2,2,2,2,2,0,2,2,2,2,2,2,2,2
233,,2,220,2,1,8,Lost,None,None,12.06,0,2,2,2,2,2,0,2,2,2,2,2,2,2,2
464,,2,220,2,1,8,Lost,None,None,1.77,0,2,2,2,2,2,0,2,2,2,2,2,2,2,2
564,,2,220,2,1,8,Lost,None,None,14.59,0,2,2,2,2,2,1,2,2,2,2,2,2,2,2
35,,2,220,2,1,8,Lost,None,None,15.82,0,2,2,2,2,2,0,2,2,2,2,2,2,2,2
296,,2,220,2,1,8,Lost,None,None,25.08,0,2,2,2,2,2,0,2,2,2,2,2,2,2,2
358,,2,220,2,1,8,Lost,None,None,4.24,0,2,2,2,2,2,0,2,2,2,2,2,2,2,2
740,,3,2,0,1,7,Advanced,None,On the Ballot,47.67,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
268,,3,2,0,1,7,Lost,None,None,13.2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2
735,,3,2,0,1,7,Lost,None,None,30.12,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2
211,,3,2,0,1,7,Lost,None,None,9.01,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2
112,,3,59,1,1,7,Advanced,None,On the Ballot,100.0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
572,,3,60,1,1,7,Advanced,None,On the Ballot,100.0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
465,,3,61,1,1,7,Advanced,None,On the Ballot,100.0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
69,,4,3,0,1,10,Advanced,None,On the Ballot,29.3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
466,,4,3,0,1,10,Lost,None,None,21.2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2
681,,4,3,0,1,10,Lost,None,None,13.5,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2
706,,4,3,0,1,10,Lost,None,None,17.6,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2
189,,4,3,0,1,10,Lost,None,None,18.4,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2
324,,4,62,1,1,10,Advanced,None,On the Ballot,100.0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
162,,4,63,1,1,10,Advanced,None,On the Ballot,100.0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
22,,4,64,1,1,10,Advanced,None,On the Ballot,100.0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
280,,4,65,1,1,10,Advanced,None,On the Ballot,100.0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
459,,4,66,1,1,10,Advanced,None,On the Ballot,51.7,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
626,,4,66,1,1,10,Lost,None,None,26.7,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2
590,,4,66,1,1,10,Lost,None,None,21.7,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2
492,,4,221,2,1,10,Advanced,None,On the Ballot,76.7,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
201,,4,221,2,1,10,Lost,None,None,23.3,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2
445,,5,67,1,1,19,Lost,None,None,47.0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2
651,,5,67,1,1,19,Advanced,None,On the Ballot,53.0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
250,,5,222,2,1,19,Lost,None,None,28.0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2
603,,5,222,2,1,19,Advanced,None,On the Ballot,66.8,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
623,,5,222,2,1,19,Lost,None,None,5.3,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2
93,,6,4,0,1,13,Lost,None,None,0.9,0,2,2,2,2,2,0,2,2,0,2,2,2,0,2
621,,6,4,0,1,13,Advanced,None,On the Ballot,56.5,1,2,1,2,2,2,2,2,2,1,2,2,2,0,2
202,,6,4,0,1,13,Lost,None,None,0.8,0,2,0,2,2,2,0,2,2,0,2,2,2,0,2
71,,6,4,0,1,13,Lost,None,None,2.0,0,2,0,2,2,2,0,2,2,0,2,2,2,0,2
3,,6,4,0,1,13,Lost,None,None,36.6,0,2,0,2,2,2,2,2,2,0,2,2,2,1,2
713,,6,4,0,1,13,Lost,None,None,1.3,0,2,0,2,2,2,0,2,2,0,2,2,2,0,2
68,,6,4,0,1,13,Lost,None,None,1.2,0,2,0,2,2,2,0,2,2,0,2,2,2,0,2
368,,6,4,0,1,13,Lost,None,None,0.7,0,2,0,2,2,2,0,2,2,0,2,2,2,0,2
253,,6,68,1,1,13,Advanced,None,On the Ballot,56.0,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2
75,,6,68,1,1,13,Lost,None,None,44.0,0,2,2,2,2,2,0,2,2,2,2,2,2,2,2
538,,6,69,1,1,13,Lost,None,None,34.1,0,2,2,2,2,2,0,2,2,2,2,2,2,2,2
625,,6,69,1,1,13,Advanced,None,On the Ballot,43.7,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
653,,6,69,1,1,13,Lost,None,None,10.0,0,2,2,2,2,2,0,2,2,2,2,2,2,2,2
167,,6,69,1,1,13,Lost,None,None,6.7,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2
215,,6,69,1,1,13,Lost,None,None,5.5,0,2,2,2,2,2,0,2,2,2,2,2,2,2,2
272,,6,70,1,1,13,Advanced,None,On the Ballot,62.4,1,2,2,2,2,1,2,2,1,1,1,1,0,0,2
397,,6,70,1,1,13,Lost,None,None,18.3,0,2,2,2,2,0,2,2,0,0,0,0,1,1,2
53,,6,70,1,1,13,Lost,None,None,19.3,0,2,2,2,2,0,0,2,0,0,0,0,0,0,2
544,,6,71,1,1,13,Advanced,None,On the Ballot,41.0,1,2,2,2,2,2,0,2,2,2,2,2,2,2,2
310,,6,71,1,1,13,Lost,None,None,33.9,0,2,2,2,2,2,1,2,2,2,2,2,2,2,2
221,,6,71,1,1,13,Lost,None,None,25.1,0,2,2,2,2,2,0,2,2,2,2,2,2,2,2
104,,6,72,1,1,13,Lost,None,None,21.5,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2
346,,6,72,1,1,13,Advanced,None,On the Ballot,44.7,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
105,,6,72,1,1,13,Lost,None,None,33.8,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2
94,,6,73,1,1,13,Lost,None,None,25.7,0,1,2,2,2,2,0,2,2,2,2,2,0,2,2
463,,6,73,1,1,13,Lost,None,None,8.0,0,0,2,2,2,2,1,2,2,2,2,2,0,2,2
51,,6,73,1,1,13,Lost,None,None,4.3,0,0,2,2,2,2,0,2,2,2,2,2,0,2,2
262,,6,73,1,1,13,Lost,None,None,1.9,0,0,2,2,2,2,0,2,2,2,2,2,0,2,2
23,,6,73,1,1,13,Lost,None,None,6.9,0,0,2,2,2,2,0,2,2,2,2,2,0,2,2
462,,6,73,1,1,13,Advanced,None,On the Ballot,40.5,1,1,2,2,2,2,0,2,2,2,2,2,1,2,2
509,,6,73,1,1,13,Lost,None,None,3.8,0,0,2,2,2,2,0,2,2,2,2,2,0,2,2
227,,6,73,1,1,13,Lost,None,None,2.0,0,0,2,2,2,2,0,2,2,2,2,2,0,2,2
674,,6,73,1,1,13,Lost,None,None,7.0,0,0,2,2,2,2,0,2,2,2,2,2,0,2,2
737,,6,74,1,1,13,Advanced,None,On the Ballot,100.0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
241,,6,75,1,1,13,Lost,None,None,27.2,0,2,2,2,2,2,1,2,2,2,2,2,2,2,2
381,,6,75,1,1,13,Lost,None,None,30.4,0,2,2,2,2,2,0,2,2,2,2,2,2,2,2
514,,6,75,1,1,13,Advanced,None,On the Ballot,42.4,1,2,2,2,2,2,0,2,2,2,2,2,2,2,2
527,,6,76,1,1,13,Advanced,None,On the Ballot,53.9,1,1,2,2,2,2,0,2,2,2,2,2,1,2,2
648,,6,76,1,1,13,Lost,None,None,30.4,0,1,2,2,2,2,1,2,1,2,2,2,0,2,2
732,,6,76,1,1,13,Lost,None,None,15.8,0,0,2,2,2,2,0,2,0,2,2,2,0,2,2
742,,6,77,1,1,13,Advanced,None,On the Ballot,100.0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
598,,6,223,2,1,13,Advanced,None,On the Ballot,88.6,1,2,1,2,2,2,1,2,1,1,2,2,2,1,2
623,,6,223,2,1,13,Lost,None,None,11.4,0,2,0,2,2,2,0,2,0,0,2,2,2,0,2
86,,7,5,0,1,4,Advanced,Advanced,On the Ballot,25.55,1,2,1,2,2,0,0,2,2,2,2,2,2,2,2
110,,7,5,0,1,4,Advanced,Lost,None,39.01,0,2,0,2,2,1,0,2,2,2,2,2,2,2,2
285,,7,5,0,1,4,Lost,None,None,18.35,0,2,0,2,2,0,1,2,2,2,2,2,2,2,2
515,,7,5,0,1,4,Lost,None,None,4.88,0,2,0,2,2,0,0,2,2,2,2,2,2,2,2
138,,7,5,0,1,4,Lost,None,None,12.21,0,2,0,2,2,0,0,2,2,2,2,2,2,2,2
219,,7,5,0,1,4,Lost,None,None,0.0,0,2,0,2,2,0,0,2,2,2,2,2,2,2,2
177,,7,78,1,1,4,Advanced,None,On the Ballot,93.0,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2
236,,7,78,1,1,4,Lost,None,None,7.0,0,2,2,2,2,2,0,2,2,2,2,2,2,2,2
282,,7,79,1,1,4,Advanced,None,On the Ballot,100.0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
348,,7,80,1,1,4,Advanced,None,On the Ballot,100.0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
18,,8,6,0,1,9,Advanced,None,On the Ballot,55.5,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
354,,8,6,0,1,9,Lost,None,None,35.2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2
585,,8,6,0,1,9,Lost,None,None,9.3,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2
99,,8,81,1,1,9,Advanced,None,On the Ballot,81.8,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
586,,8,81,1,1,9,Lost,None,None,18.2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2
83,,8,82,1,1,9,Advanced,None,On the Ballot,100.0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
620,,8,224,2,1,9,Advanced,None,On the Ballot,23.7,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
508,,8,224,2,1,9,Lost,None,None,5.9,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2
142,,8,224,2,1,9,Lost,None,None,19.3,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2
252,,8,224,2,1,9,Lost,None,None,6.2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2
623,,8,224,2,1,9,Lost,None,None,11.4,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2
607,,8,224,2,1,9,Lost,None,None,14.9,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2
220,,8,224,2,1,9,Lost,None,None,5.1,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2
701,,8,224,2,1,9,Lost,None,None,13.6,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2
123,,9,99,1,1,8,Advanced,None,On the Ballot,100.0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
73,,10,7,0,1,3,Advanced,None,On the Ballot,37.29,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
278,,10,7,0,1,3,Lost,None,None,0.45,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2
448,,10,7,0,1,3,Lost,None,None,1.75,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2
583,,10,7,0,1,3,Lost,None,None,32.63,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2
690,,10,7,0,1,3,Lost,None,None,1.39,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2
720,,10,7,0,1,3,Lost,None,None,26.22,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2
153,,10,7,0,1,3,Lost,None,None,0.27,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2
629,,10,83,1,1,3,Advanced,None,On the Ballot,43.12,1,2,2,2,2,2,2,2,1,2,1,2,0,2,2
134,,10,83,1,1,3,Lost,None,None,11.19,0,2,2,2,2,2,2,2,0,2,0,2,0,2,2
454,,10,83,1,1,3,Lost,None,None,14.26,0,2,2,2,2,2,2,2,0,2,0,2,1,2,2
181,,10,83,1,1,3,Lost,None,None,15.53,0,2,2,2,2,2,2,2,0,2,0,2,0,2,2
513,,10,83,1,1,3,Lost,None,None,10.37,0,2,2,2,2,2,2,2,0,2,0,2,0,2,2
541,,10,83,1,1,3,Lost,None,None,2.02,0,2,2,2,2,2,2,2,0,2,0,2,0,2,2
10,,10,83,1,1,3,Lost,None,None,3.5,0,2,2,2,2,2,2,2,0,2,0,2,0,2,2
339,,11,84,1,1,1,Advanced,None,On the Ballot,100.0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
207,,11,85,1,1,1,Advanced,None,On the Ballot,36.24,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2
644,,11,85,1,1,1,Lost,None,None,29.06,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2
329,,11,85,1,1,1,Lost,None,None,34.7,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2
543,,11,86,1,1,1,Advanced,None,On the Ballot,79.33,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
140,,11,86,1,1,1,Lost,None,None,20.67,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2
56,,11,87,1,1,1,Advanced,None,On the Ballot,100.0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
185,,11,88,1,1,1,Advanced,None,On the Ballot,36.59,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
374,,11,88,1,1,1,Lost,None,None,27.94,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2
556,,11,88,1,1,1,Lost,None,None,35.46,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2
34,,11,89,1,1,1,Advanced,None,On the Ballot,100.0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
475,,11,90,1,1,1,Advanced,None,On the Ballot,100.0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
717,,11,91,1,1,1,Advanced,None,On the Ballot,100.0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
146,,11,92,1,1,1,Advanced,None,On the Ballot,56.33,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
322,,11,92,1,1,1,Lost,None,None,43.67,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2
342,,11,93,1,1,1,Advanced,None,On the Ballot,100.0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
